File name	Line	Function	Duration[ms]	Explored nodes
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormCalificarTrabajo.Designer.cs	28	_Loggin.FormCalificarTrabajo.InitializeComponent$$	0	3
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormCalificarTrabajo.cs	15	_Loggin.FormCalificarTrabajo.LlenarTabla$$	0	3
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormCalificarTrabajo.cs	32	_Loggin.FormCalificarTrabajo.btnBuscar_Click$object.System.EventArgs$	0	2
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormCalificarTrabajo.cs	40	_Loggin.FormCalificarTrabajo.btnSalir_Click$object.System.EventArgs$	0	3
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormCalificarTrabajo.cs	50	_Loggin.FormCalificarTrabajo.btnCalificar_Click$object.System.EventArgs$	0	3
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormCalificarTrabajo.cs	66	_Loggin.FormCalificarTrabajo.radioBtn1_CheckedChanged$object.System.EventArgs$	0	3
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormCalificarTrabajo.cs	74	_Loggin.FormCalificarTrabajo.radioBtn2_CheckedChanged$object.System.EventArgs$	0	3
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormCalificarTrabajo.cs	82	_Loggin.FormCalificarTrabajo.radioBtn3_CheckedChanged$object.System.EventArgs$	0	3
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormCalificarTrabajo.cs	90	_Loggin.FormCalificarTrabajo.radioBtn4_CheckedChanged$object.System.EventArgs$	0	3
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormCalificarTrabajo.cs	98	_Loggin.FormCalificarTrabajo.radioBtn5_CheckedChanged$object.System.EventArgs$	0	3
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormCalificarTrabajo.cs	103	_Loggin.FormCalificarTrabajo.dataGridView1_CellContentClick$object.System.Windows.Forms.DataGridViewCellEventArgs$	0	2
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormCalificarTrabajo.cs	108	_Loggin.FormCalificarTrabajo.FormCalificarTrabajo_Load$object.System.EventArgs$	0	2
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormEnviarCorreo.Designer.cs	28	_EnviarCorreo.FormEnviarCorreo.InitializeComponent$$	0	3
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormEnviarCorreo.cs	21	_EnviarCorreo.FormEnviarCorreo.BtnEnviar_Click$object.System.EventArgs$	0	3
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormEnviarCorreo.cs	54	_EnviarCorreo.FormEnviarCorreo.txtEmisor_TextChanged$object.System.EventArgs$	0	2
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormEnviarCorreo.cs	59	_EnviarCorreo.FormEnviarCorreo.label1_Click$object.System.EventArgs$	0	2
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormEnviarCorreo.cs	64	_EnviarCorreo.FormEnviarCorreo.Form1_Load$object.System.EventArgs$	0	2
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormEnviarCorreo.cs	72	_EnviarCorreo.FormEnviarCorreo.btnCancelar_Click$object.System.EventArgs$	0	3
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormEnviarCorreo.cs	79	_EnviarCorreo.FormEnviarCorreo.rtbMensaje_TextChanged$object.System.EventArgs$	0	2
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormLogin.Designer.cs	28	_Loggin.FormLogin.InitializeComponent$$	0	3
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormLogin.cs	23	_Loggin.FormLogin.btnIngresar_Click$object.System.EventArgs$	0	6
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormLogin.cs	96	_Loggin.FormLogin.btnSalir_Click$object.System.EventArgs$	0	3
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormLogin.cs	101	_Loggin.FormLogin.label3_Click$object.System.EventArgs$	0	2
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormLogin.cs	106	_Loggin.FormLogin.txtaver_TextChanged$object.System.EventArgs$	0	2
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormLogin.cs	114	_Loggin.FormLogin.linkLblCrearCuenta_LinkClicked$object.System.Windows.Forms.LinkLabelLinkClickedEventArgs$	0	3
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormLogin.cs	121	_Loggin.FormLogin.txtUsuario_TextChanged$object.System.EventArgs$	0	2
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormLogin.cs	126	_Loggin.FormLogin.FormLogin_Load$object.System.EventArgs$	0	2
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormModTrabajo.Designer.cs	28	_ModificarPublicacion.FormModTrabajo.InitializeComponent$$	0	3
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormModTrabajo.cs	18	_ModificarPublicacion.FormModTrabajo.Form1_Load$object.System.EventArgs$	0	2
D:\UNIVERSIDAD\CICLO 6\Construccion de software\presentacionFinal\ProyectoFinal\Loggin\FormModTrabajo.cs	26	_ModificarPublicacion.FormModTrabajo.btnGuardar_Click$object.System.EventArgs$	0	3
